fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Baumea arthrophylla,Baumea arthrophylla,Machaerina arthrophylla,,SPECIES
Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata,Eucalyptus robertsonii,robertsonii,SUBSPECIES
Bryophyllum pinnatum,Bryophyllum pinnatum,Kalanchoe pinnata,,SPECIES
Eucalyptus codonocarpa,Eucalyptus codonocarpa,Eucalyptus approximans,,SPECIES
Angophora costata subsp. euryphylla,Angophora costata,Angophora euryphylla,euryphylla,SUBSPECIES
Polygala linariifolia,Polygala linariifolia,Polygala glomerata,,SPECIES
Orites excelsus,Orites excelsus,Orites excelsa,,SPECIES
Leucopogon fletcheri,Leucopogon fletcheri,Styphelia fletcheri,,SPECIES
Paspalidium aversum,Paspalidium aversum,Setaria aversa,,SPECIES
Deyeuxia gunniana,Deyeuxia gunniana,Calamagrostis gunniana,,SPECIES
Sanguisorba minor subsp. muricata,Sanguisorba minor,Poterium sanguisorba,muricata,SUBSPECIES
Jasminum suavissimum,Jasminum suavissimum,Jasminum simplicifolium,,SPECIES
Pomaderris intermedia,Pomaderris intermedia,Pomaderris discolor,,SPECIES
Urochloa foliosa,Urochloa foliosa,Brachiaria foliosa,,SPECIES
Chenopodium murale,Chenopodium murale,Chenopodiastrum murale,,SPECIES
Solanum physalifolium var. nitidibaccatum,Solanum physalifolium,Solanum nitidibaccatum,nitidibaccatum,VARIETY
Heliotropium brachygyne,Heliotropium brachygyne,Euploca brachygyne,,SPECIES
Lastreopsis smithiana,Lastreopsis smithiana,Parapolystichum smithianum,,SPECIES
Glochidion ferdinandi var. pubens,Glochidion ferdinandi,Phyllanthus ferdinandii,pubens,VARIETY
Psilocaulon granulicaule,Psilocaulon granulicaule,Mesembryanthemum granulicaule,,SPECIES
Isotoma anethifolia,Isotoma anethifolia,Lithotoma anethifolia,,SPECIES
